DATAFLOW,LAST UPDATE,freq,hhcomp,rskpovth,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2010,2.6,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2011,3.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2012,3.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2013,4.6,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2014,4.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2015,4.2,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2016,4.2,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2017,3.5,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2018,3.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2019,3.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2020,3.9,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2021,4.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2022,8.5,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2023,9.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2024,7.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,DK,2025,6.2,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA,2011,7.7,e,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA,2012,8.3,e,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA,2013,8.4,e,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA,2014,9.0,e,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA,2015,8.4,e,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA,2016,7.9,e,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA,2017,7.0,e,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA,2018,6.6,e,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA,2019,6.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA,2020,7.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA,2021,7.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2005,7.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2006,7.5,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2007,7.2,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2008,6.9,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2009,6.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2010,7.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2011,7.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2012,8.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2013,8.5,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2014,9.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2015,8.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2016,7.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,EA18,2017,6.8,,
